Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
1,E Campbell,A series of fast-paced advances in Quantum Error Correction,10,2024, nature.com, Nature Reviews Physics,https://www.nature.com/articles/s42254-024-00706-3,10
2,"Q Xu, JP Bonilla Ataides, CA Pattison, N Raveendran…",Constant-overhead fault-tolerant quantum computation with reconfigurable atom arrays,81,2024, nature.com, Nature Physics,https://www.nature.com/articles/s41567-024-02479-z,81
3,"PS Tarabunga, E Tirrito, MC Bañuls, M Dalmonte",Nonstabilizerness via matrix product states in the pauli basis,26,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.010601,26
4,"S Anand, CE Bradley, R White, V Ramesh, K Singh…",A dual-species Rydberg array,17,2024, nature.com, Nature Physics,https://www.nature.com/articles/s41567-024-02638-2,17
5,"A Cao, WJ Eckner, T Lukin Yelin, AW Young…",Multi-qubit gates and Schrödinger cat states in an optical clock,19,2024, nature.com, Nature,https://www.nature.com/articles/s41586-024-07913-z,19
6,"A Morvan, B Villalonga, X Mi, S Mandra…",Phase transition in random circuit sampling,85,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2304.11119,42
7,"A Pyrkov, A Aliper, D Bezrukov…",Complexity of life sciences in quantum and AI era,4,2024, Wiley Online Library, Wiley …,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wcms.1701,4
8,"MA Norcia, H Kim, WB Cairncross, M Stone, A Ryou…",Iterative Assembly of  Atom Arrays with Cavity-Enhanced Optical Lattices,24,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.030316,24
9,"L Postler, F Butt, I Pogorelov, CD Marciniak, S Heußen…",Demonstration of fault-tolerant steane quantum error correction,17,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.030326,17
10,"R Finkelstein, RBS Tsai, X Sun, P Scholl, S Direkci…",Universal quantum operations and ancilla-based read-out for tweezer clocks,14,2024, nature.com, Nature,https://www.nature.com/articles/s41586-024-08005-8,14
11,"M Frau, PS Tarabunga, M Collura, M Dalmonte…",Nonstabilizerness versus entanglement in matrix product states,19,2024, APS, Physical Review B,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.110.045101,19
12,"AN Ciavarella, CW Bauer",Quantum Simulation of SU(3) Lattice Yang-Mills Theory at Leading Order in Large- Expansion,13,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.111901,13
13,"F Gyger, M Ammenwerth, R Tao, H Timme…",Continuous operation of large-scale atom arrays in optical lattices,20,2024, APS, Physical Review …,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.033104,20
14,"RC Farrell, M Illa, AN Ciavarella, MJ Savage",Quantum simulations of hadron dynamics in the Schwinger model using 112 qubits,54,2024, APS, Physical Review D,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.109.114510,54
15,"R Acharya, L Aghababaie-Beni, I Aleiner…",Quantum error correction below the surface code threshold,21,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2408.13687,21
16,"G Bornet, G Emperauger, C Chen, F Machado…",Enhancing a many-body dipolar Rydberg tweezer array with arbitrary local controls,10,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.263601,10
17,"A Katabarwa, K Gratsea, A Caesura, PD Johnson",Early fault-tolerant quantum computing,18,2024, APS, PRX Quantum,https://link.aps.org/pdf/10.1103/PRXQuantum.5.020101,18
18,"J Ye, P Zoller","Essay: Quantum Sensing with Atomic, Molecular, and Optical Platforms for Fundamental Physics",32,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.190001,32
19,"F Eckstein, B Han, S Trebst, GY Zhu",Robust teleportation of a surface code and cascade of topological quantum phase transitions,7,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.040313,7
20,"Y Hong, E Durso-Sabina, D Hayes, A Lucas",Entangling four logical qubits beyond break-even in a nonlocal code,6,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.180601,6
21,"Y Li, JD Thompson",High-rate and high-fidelity modular interconnects between neutral atom quantum processors,9,2024, APS, PRX Quantum,https://link.aps.org/pdf/10.1103/PRXQuantum.5.020363,9
22,"H Zhou, C Zhao, M Cain, D Bluvstein…",Algorithmic fault tolerance for fast quantum computing,15,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2406.17653,15
23,"PV Klimov, A Bengtsson, C Quintana…",Optimizing quantum gates towards the scale of logical qubits,13,2024, nature.com, Nature …,https://www.nature.com/articles/s41467-024-46623-y,13
24,"D Hangleiter, MJ Gullans",Bell sampling from quantum circuits,16,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.020601,16
25,"E Hyyppä, A Vepsäläinen, M Papič, CF Chan, S Inel…",Reducing leakage of single-qubit gates for superconducting quantum processors using analytical control pulse envelopes,5,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.030353,5
26,"C Hölzl, A Götzelmann, E Pultinevicius, M Wirth…",Long-lived circular Rydberg qubits of alkaline-earth atoms in optical tweezers,16,2024, APS, Physical Review X,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.14.021024,16
27,H Goto,High-performance fault-tolerant quantum computing with many-hypercube codes,1,2024, science.org, Science Advances,https://www.science.org/doi/abs/10.1126/sciadv.adp6388,1
28,"HK Zhang, S Liu, SX Zhang",Absence of barren plateaus in finite local-depth circuits with long-range entanglement,19,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.150603,19
29,"R King, K Wan, JR McClean",Exponential learning advantages with conjugate states and minimal quantum memory,4,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.040301,4
30,"L Schmid, DF Locher, M Rispler, S Blatt…",Computational capabilities and compiler development for neutral atom quantum processors—connecting tool developers and hardware experts,16,2024, iopscience.iop.org, Quantum Science …,https://iopscience.iop.org/article/10.1088/2058-9565/ad33ac/meta,16
31,"S Kosen, HX Li, M Rommel, R Rehammar, M Caputo…",Signal crosstalk in a flip-chip quantum processor,4,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.030350,4
32,"G Unnikrishnan, P Ilzhöfer, A Scholz, C Hölzl…",Coherent control of the fine-structure qubit in a single alkaline-earth atom,14,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.150606,14
33,"H Wang, P Liu, DB Tan, Y Liu, J Gu…",Atomique: A quantum compiler for reconfigurable neutral atom arrays,5,2024, ieeexplore.ieee.org, 2024 ACM/IEEE 51st …,https://ieeexplore.ieee.org/abstract/document/10609728/,5
34,"F Hu, SA Khan, NT Bronn, G Angelatos…",Overcoming the coherence time barrier in quantum machine learning on temporal data,3,2024, nature.com, Nature …,https://www.nature.com/articles/s41467-024-51162-7,3
35,"MP Da Silva, C Ryan-Anderson, JM Bello-Rivas…",Demonstration of logical qubits and repeated error correction with better-than-physical error rates,42,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2404.02280,42
36,"LRB Picard, GE Patenotte, AJ Park, SF Gebretsadkan…",Site-selective preparation and multistate readout of molecules in optical tweezers,10,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.020344,10
37,"J Gonzalez-Conde, TW Watts, P Rodriguez-Grasa…",Efficient quantum amplitude encoding of polynomial functions,17,0,journal.org,,https://quantum-journal.org/papers/q-2024-03-21-1297/,0
38,"HJ Manetsch, G Nomura, E Bataille, KH Leung…",A tweezer array with 6100 highly coherent atomic qubits,29,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2403.12021,29
39,"AF Mello, A Santini, M Collura",Hybrid stabilizer matrix product operator,3,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.150604,3
40,"AN Kumar, RK Raj, SG Aly, MD Anderson, BA Becker…",Computer Science Curricula 2023,15,2024, dl.acm.org,,https://dl.acm.org/doi/abs/10.1145/3664191,15
41,"DB Tan, D Bluvstein, MD Lukin, J Cong",Compiling quantum circuits for dynamically field-programmable neutral atoms array processors,20,0,journal.org,,https://quantum-journal.org/papers/q-2024-03-14-1281/,0
42,"Y Hong, M Marinelli, AM Kaufman, A Lucas",Long-range-enhanced surface codes,9,2024, APS, Physical Review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.110.022607,9
43,"S Pucher, V Klüsener, F Spriestersbach, J Geiger…",Fine-structure qubit encoded in metastable strontium trapped in an optical lattice,8,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.150605,8
44,"CM Löschnauer, JM Toba, AC Hughes, SA King…","Scalable, high-fidelity all-electronic control of trapped-ion qubits",8,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2407.07694,8
45,"L Colmenarez, ZM Huang, S Diehl, M Müller",Accurate optimal quantum error correction thresholds from coherent information,5,2024, APS, Physical Review Research,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.L042014,5
46,"G Pichard, D Lim, É Bloch, J Vaneecloo, L Bourachot…",Rearrangement of individual atoms in a 2000-site optical-tweezer array at cryogenic temperatures,5,2024, APS, Physical Review …,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.22.024073,5
47,"Y Cheng, H Zhai",Emergent U(1) lattice gauge theory in Rydberg atom arrays,1,2024, nature.com, Nature Reviews Physics,https://www.nature.com/articles/s42254-024-00749-6,1
48,"T Beck, A Baroni, R Bennink, G Buchs…",Integrating quantum computing resources into scientific HPC ecosystems,3,2024, Elsevier, Future Generation …,https://www.sciencedirect.com/science/article/pii/S0167739X24003583,3
49,"J Ramette, J Sinclair, NP Breuckmann…",Fault-tolerant connection of error-corrected qubits with noisy links,15,2024, nature.com, npj Quantum …,https://www.nature.com/articles/s41534-024-00855-4,15
50,"Z Bao, S Xu, Z Song, K Wang, L Xiang, Z Zhu…",Creating and controlling global Greenberger-Horne-Zeilinger entanglement on quantum processors,1,2024, nature.com, Nature …,https://www.nature.com/articles/s41467-024-53140-5,1
51,"S Omanakuttan, V Buchemmavari, JA Gross…",Fault-Tolerant Quantum Computation Using Large Spin-Cat Codes,10,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.020355,10
52,"X Yang, J Chu, Z Guo, W Huang, Y Liang, J Liu, J Qiu…",Coupler-assisted leakage reduction for scalable quantum error correction with superconducting qubits,2,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.170601,2
53,"R Kobayashi, G Zhu",Cross-Cap Defects and Fault-Tolerant Logical Gates in the Surface Code and the Honeycomb Floquet Code,5,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.020360,5
54,"AG Radnaev, WC Chung, DC Cole, D Mason…",A universal neutral-atom quantum computer with individual optical addressing and non-destructive readout,5,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2408.08288,5
55,"R Sahay, R Verresen",Finite-depth preparation of tensor network states from measurement,8,2024, arxiv.org, arXiv preprint arXiv:2404.17087,https://arxiv.org/abs/2404.17087,8
56,"W Fang, M Ying",Symbolic execution for quantum error correction programs,3,2024, dl.acm.org, Proceedings of the ACM on Programming Languages,https://dl.acm.org/doi/abs/10.1145/3656419,3
57,"M Cain, C Zhao, H Zhou, N Meister, J Ataides…",Correlated decoding of logical algorithms with transversal gates,12,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2403.03272,12
58,"Z Liang, J Cheng, H Ren, H Wang…",NAPA: intermediate-level variational native-pulse ansatz for variational quantum algorithms,17,2024, ieeexplore.ieee.org,Aided …,https://ieeexplore.ieee.org/abstract/document/10402000/,17
59,"Z Liang, Y Xu, JT Iosue, YA Chen",Extracting topological orders of generalized Pauli stabilizer codes in two dimensions,2,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.030328,2
60,"C Ryan-Anderson, NC Brown, CH Baldwin, JM Dreiling…",High-fidelity teleportation of a logical qubit using transversal gates and lattice surgery,1,2024, science.org, Science,https://www.science.org/doi/abs/10.1126/science.adp6016,1
61,"TL Scholten, CJ Williams, D Moody, M Mosca…",Assessing the benefits and risks of quantum computers,13,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2401.16317,13
62,"QM Ding, YM Huang, X Yuan",Molecular docking via quantum approximate optimization algorithm,6,2024, APS, Physical Review Applied,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.21.034036,6
63,"Y Takada, K Fujii",Improving Threshold for Fault-Tolerant Color-Code Quantum Computing by Flagged Weight Optimization,1,2024, APS, PRX Quantum,https://link.aps.org/doi/10.1103/PRXQuantum.5.030352,1
64,"D Rocca, CL Cortes, JF Gonthier…",Reducing the runtime of fault-tolerant quantum simulations in chemistry through symmetry-compressed double factorization,6,2024, ACS Publications, Journal of Chemical …,https://pubs.acs.org/doi/abs/10.1021/acs.jctc.4c00352,6
65,"T Proctor, K Young, AD Baczewski…",Benchmarking quantum computers,5,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2407.08828,5
66,"S Mangini, M Cattaneo, D Cavalcanti, S Filippov…",Tensor network noise characterization for near-term quantum computers,2,2024, APS, Physical Review …,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.033217,2
67,"PM Ireland, DM Walker, JD Pritchard",Interspecies Förster resonances for Rb-Cs Rydberg -states for enhanced multi-qubit gate fidelities,5,2024, APS, Physical Review Research,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.013293,5
68,"K Klocke, JE Moore, M Buchhold",Power-Law Entanglement and Hilbert Space Fragmentation in Nonreciprocal Quantum Circuits,1,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.070401,1
69,"S Li, Z Ni, L Zhang, Y Cai, J Mai, S Wen, P Zheng…",Autonomous Stabilization of Fock States in an Oscillator against Multiphoton Losses,5,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.203602,5
70,"BW Reichardt, D Aasen, R Chao…",Demonstration of quantum computation and error correction with a tesseract code,4,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2409.04628,4
71,"TG Zhou, P Zhang",Efficient classical shadow tomography through many-body localization dynamics,5,0,journal.org,,https://quantum-journal.org/papers/q-2024-09-11-1467/,0
72,"J Guo, O Hart, CF Chen, AJ Friedman…",Designing open quantum systems with known steady states: Davies generators and beyond,17,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2404.14538,17
73,"A Salhov, Q Cao, J Cai, A Retzker, F Jelezko…",Protecting quantum information via destructive interference of correlated noise,4,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.223601,4
74,"K Mayer, C Ryan-Anderson, N Brown…",Benchmarking logical three-qubit quantum Fourier transform encoded in the Steane code on a trapped-ion quantum computer,14,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2404.08616,14
75,"J Bostanci, J Haferkamp, D Hangleiter…",Efficient Quantum Pseudorandomness from Hamiltonian Phase States,3,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2410.08073,3
76,"D Fitzek, T Ghandriz, L Laine, M Granath…",Applying quantum approximate optimization to the heterogeneous vehicle routing problem,18,2024, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-024-76967-w,18
77,"J Hauser, Y Bao, S Sang, A Lavasani…",Information dynamics in decohered quantum memory with repeated syndrome measurements: a dual approach,3,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2407.07882,3
78,"T Hillmann, L Berent, AO Quintavalle, J Eisert…",Localized statistics decoding: A parallel decoding algorithm for quantum low-density parity-check codes,4,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2406.18655,4
79,"V Sivak, M Newman, P Klimov",Optimization of decoder priors for accurate quantum error correction,1,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.150603,1
80,C Jones,Improved accuracy for decoding surface codes with matching synthesis,3,2024, arxiv.org, arXiv preprint arXiv:2408.12135,https://arxiv.org/abs/2408.12135,3
81,"C Nill, A Cabot, A Trautmann, C Groß, I Lesanovsky",Avalanche terahertz photon detection in a Rydberg tweezer array,1,2024, APS, Physical Review Letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.133.073603,1
82,"A Pagano, D Jaschke, W Weiss, S Montangero",Optimal control transport of neutral atoms in optical tweezers at finite temperature,2,2024, APS, Physical Review Research,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.033282,2
83,"S Heußen, J Hilder",Efficient fault-tolerant code switching via one-way transversal CNOT gates,2,2024, arxiv.org, arXiv preprint arXiv:2409.13465,https://arxiv.org/abs/2409.13465,2
84,"C Dalyac, L Leclerc, L Vignoli, M Djellabi…",Graph algorithms with neutral atom quantum processors,2,2024, Springer, The European Physical …,https://link.springer.com/article/10.1140/epja/s10050-024-01385-5,2
85,"SS Phatak, KN Blodgett, D Peana, MR Chen, JD Hood",Generalized theory for optical cooling of a trapped atom with spin,1,2024, APS, Physical Review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.110.043116,1
86,"R Zen, J Olle, L Colmenarez, M Puviani…",Quantum Circuit Discovery for Fault-Tolerant Logical State Preparation with Reinforcement Learning,3,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2402.17761,3
87,"A Seif, S Chen, S Majumder, H Liao, DS Wang…",Entanglement-enhanced learning of quantum processes at scale,2,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2408.03376,2
88,"F Yang, H Yarloo, HC Zhang, K Mølmer…",Probing Hilbert space fragmentation with strongly interacting Rydberg atoms,5,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2403.13790,5
89,"P Hilaire, T Dessertaine, B Bourdoncle, A Denys…",Enhanced Fault-tolerance in Photonic Quantum Computing: Floquet Code Outperforms Surface Code in Tailored Architecture,2,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2410.07065,2
90,"S Huang, KR Brown, M Cetina",Comparing shor and steane error correction using the bacon-shor code,4,2023, arxiv.org, arXiv preprint arXiv:2312.10851,https://arxiv.org/abs/2312.10851,2
91,"SH Lee, F Thomsen, N Fazio, BJ Brown…",Low-overhead magic state distillation with color codes,2,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2409.07707,2
92,"T Hao, Z He, R Shaydulin, J Larson…",End-to-end protocol for high-quality QAOA parameters with few shots,2,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2408.00557,2
93,"L Su, A Douglas, M Szurek, AH Hebert, A Krahn…",Fast single atom imaging in optical lattice arrays,9,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2404.09978,9
94,"H Ali, J Marques, O Crawford, J Majaniemi…",Reducing the error rate of a superconducting logical qubit using analog readout information,1,2024, APS, Physical Review …,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.22.044031,1
95,"DA Rower, L Ding, H Zhang, M Hays, J An…",Suppressing Counter-Rotating Errors for Fast Single-Qubit Gates with Fluxonium,3,2024, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2406.08295,3
96,"S Chen, W Gong, Q Ye, Z Zhang",Stabilizer bootstrapping: A recipe for efficient agnostic tomography and magic estimation,2,2024, arxiv.org, arXiv preprint arXiv:2408.06967,https://arxiv.org/abs/2408.06967,2
97,"MBM Svendsen, M Cech, M Schemmer, B Olmos",Topological photon pumping in quantum optical systems,1,0,journal.org,,https://quantum-journal.org/papers/q-2024-10-02-1488/,0
98,"J Rajakumar, JD Watson, YK Liu",Polynomial-time classical simulation of noisy iqp circuits with constant depth,7,2024, arxiv.org, arXiv preprint arXiv:2403.14607,https://arxiv.org/abs/2403.14607,7
99,"R Sahay, R Verresen",Classifying One-Dimensional Quantum States Prepared by a Single Round of Measurements,6,2024, arxiv.org, arXiv preprint arXiv:2404.16753,https://arxiv.org/abs/2404.16753,6
100,"JA Jacoby, DA Huse, S Gopalakrishnan",Spectral gaps of local quantum channels in the weak-dissipation limit,2,2024, arxiv.org, arXiv preprint arXiv:2409.17238,https://arxiv.org/abs/2409.17238,2
